ADJACÊNCIA	PESO
44 -> 1 		 2
94 -> 2 		 2
2 -> 3 		 2
13 -> 4 		 2
30 -> 5 		 1
30 -> 6 		 1
77 -> 7 		 3
45 -> 8 		 3
48 -> 9 		 2
35 -> 10 		 1
46 -> 11 		 2
38 -> 12 		 2
35 -> 13 		 2
13 -> 14 		 2
80 -> 15 		 1
31 -> 16 		 3
16 -> 17 		 1
66 -> 18 		 2
9 -> 19 		 2
30 -> 20 		 2
67 -> 21 		 3
6 -> 22 		 2
57 -> 23 		 2
76 -> 24 		 2
70 -> 25 		 1
34 -> 26 		 2
1 -> 27 		 3
61 -> 28 		 1
3 -> 29 		 3
3 -> 30 		 1
13 -> 31 		 2
78 -> 32 		 3
58 -> 33 		 1
1 -> 34 		 2
56 -> 35 		 2
53 -> 36 		 1
35 -> 37 		 5
39 -> 38 		 2
14 -> 39 		 2
91 -> 40 		 2
54 -> 41 		 5
31 -> 42 		 1
96 -> 43 		 2
35 -> 44 		 1
67 -> 45 		 1
33 -> 46 		 2
61 -> 47 		 1
30 -> 48 		 1
94 -> 49 		 1
46 -> 50 		 1
47 -> 51 		 2
25 -> 52 		 2
72 -> 53 		 1
77 -> 54 		 1
43 -> 55 		 1
47 -> 56 		 1
61 -> 57 		 2
40 -> 58 		 2
0 -> 59 		 1
5 -> 60 		 2
59 -> 61 		 2
83 -> 62 		 3
10 -> 63 		 1
14 -> 64 		 1
74 -> 65 		 2
23 -> 66 		 2
56 -> 67 		 1
92 -> 68 		 3
3 -> 69 		 3
55 -> 70 		 1
48 -> 71 		 1
39 -> 72 		 1
12 -> 73 		 1
96 -> 74 		 1
5 -> 75 		 1
63 -> 76 		 1
93 -> 77 		 2
77 -> 78 		 1
31 -> 79 		 2
29 -> 80 		 1
78 -> 81 		 6
47 -> 82 		 3
85 -> 83 		 2
72 -> 84 		 1
69 -> 85 		 1
28 -> 86 		 2
50 -> 87 		 1
77 -> 88 		 2
13 -> 89 		 1
4 -> 90 		 2
65 -> 91 		 1
76 -> 92 		 2
10 -> 93 		 2
88 -> 94 		 1
19 -> 95 		 1
44 -> 96 		 1
5 -> 97 		 1
40 -> 98 		 1
35 -> 99 		 1
